#nNodeR = 100 ,nNodeZ = 100
R Z Phi
0.00131 0.00011 5.10704e-100
0.00133 0.00011 6.92317e-101
0.00135 0.00011 9.24974e-102
0.00137 0.00011 1.21823e-102
0.00139 0.00011 1.58194e-103
0.00141 0.00011 2.02578e-104
0.00143 0.00011 2.55869e-105
0.00145 0.00011 3.18818e-106
0.00147 0.00011 3.91965e-107
0.00149 0.00011 4.75556e-108
0.00151 0.00011 5.69484e-109
0.00153 0.00011 6.73218e-110
0.00155 0.00011 7.85767e-111
0.00157 0.00011 9.05658e-112
0.00159 0.00011 1.03094e-112
0.00161 0.00011 1.15921e-113
0.00163 0.00011 1.2877e-114
0.00165 0.00011 1.41337e-115
0.00167 0.00011 1.533e-116
0.00169 0.00011 1.64337e-117
0.00171 0.00011 1.74137e-118
0.00173 0.00011 1.82416e-119
0.00175 0.00011 1.88934e-120
0.00177 0.00011 1.93502e-121
0.00179 0.00011 1.95994e-122
0.00181 0.00011 1.96349e-123
0.00183 0.00011 1.94581e-124
0.00185 0.00011 1.90766e-125
0.00187 0.00011 1.85048e-126
0.00189 0.00011 1.77621e-127
0.00191 0.00011 1.68726e-128
0.00193 0.00011 1.5863e-129
0.00195 0.00011 1.47625e-130
0.00197 0.00011 1.36101e-131
0.00199 0.00011 1.35367e-132
1e-05 0.00013 5.80158e-64
3e-05 0.00013 5.49058e-64
5e-05 0.00013 4.91857e-64
7e-05 0.00013 4.17211e-64
9e-05 0.00013 3.35265e-64
0.00011 0.00013 2.55397e-64
0.00013 0.00013 1.84576e-64
0.00015 0.00013 1.26663e-64
0.00017 0.00013 8.26167e-65
0.00019 0.00013 5.12719e-65
0.00021 0.00013 3.03085e-65
0.00023 0.00013 1.70851e-65
0.00025 0.00013 9.19479e-66
0.00027 0.00013 4.72986e-66
0.00029 0.00013 2.32833e-66
0.00031 0.00013 1.09809e-66
0.00033 0.00013 4.96731e-67
0.00035 0.00013 2.15769e-67
0.00037 0.00013 9.0098e-68
0.00039 0.00013 3.62048e-68
0.00041 0.00013 1.4015e-68
0.00043 0.00013 5.23154e-69
0.00045 0.00013 1.88496e-69
0.00047 0.00013 6.5617e-70
0.00049 0.00013 2.20884e-70
0.00051 0.00013 7.19659e-71
0.00053 0.00013 2.27125e-71
0.00055 0.00013 6.94913e-72
0.00057 0.00013 2.06281e-72
0.00059 0.00013 5.94533e-73
